,Scientific,Synonym,English,Dutch,Spanish,French,German,Italian,Count English,Count Dutch,Count Spanish,Count French,Count German,Count Italian,Origin,Distribution,"Annual, biennial, or perennial",Flowers,Leaves,Fruits,Climate and weather,Pollination,Height,Type of soil,Moisture,Light,Growth rate,Spacing (close range),Spacing (wide range),Propagation,Insect pests,Diseases,Nematodes,Harvesting,Uses,Evergreen or Deciduous,Plant,Fruit development,Blooming period,genus,family,order,crop_categories,Count of Crop Categories,proverbs,recipies
295,['Grewia asiatica'],[],"Falsa,Phalsa",Phalsa,Falsa,Phalsa,,,2,1,1,1,0,0,"Phalsa originates from Southern Asia, roughly the area between Pakistan and Cambodia.",It is grown in south Asia and other tropical countries.,,,,Phalsa fruits are drupes with a diameter of 5 to 12 mm. When ripe the fruits have a purple or black color.,Grows in tropical climates.,,The tree or shrub can be up to 8 meter tall.,,,,,,,,,,,,Used as a fresh fruit or to make juice or sherbets.,,,,,Grewia,Malvaceae,Malvales,Fruits,1,,
296,['Guizotia abyssinica'],['Guizotia oleifera'],"Blackseed,Niger seed,Noog,Noug,Nug,Nyjer,Ramtil,Ramtilla",Nigerzaad,,,Ramtillkraut,,8,1,0,0,1,0,Ethiopia,Highest production in Ethiopia and India.,Annual,Yellow flowers,,,,,,,,,,,,,,,,,Used to produce an edible oil. Seeds are also used as fodder for birds or as a spice in some curries.,,,,,Guizotia,Asteraceae,Asterales,"Vegetable oils,Tropical crops,Subtropical crops,Forage and fodder crops",4,,
297,['Gynura bicolor'],[],Okinawan spinach,,,,,,1,0,0,0,0,0,"China, Thailand, Myanmar.",,It’s a perennial plant.,,"There are two types of plants. In one type the eaves are green on both sides, and the other type has leaves that are green on top and purple underneath.",,,,,,,,,,,Can be propagated by cuttings.,,,,,"Leaves are eaten as a vegetable, or used as a medicinal herb.",,,,,Gynura,Asteraceae,Asterales,"Herbs,Vegetables,Medicinal plants",3,,
298,['Gynura procumbens'],['Cacalia procumbens'],"Longevity spinach,Other,Daon Dewa",,,,,,3,0,0,0,0,0,,"South East Asia, China, Africa",,,Leaves are ovate-elliptic or lanceolate. They are 3.5 to 8 centimeters long and 1 to 3.5 centimeters wide.,,,,,,,,,,,Can be propagated by using cuttings.,,,,Young leaves are picked.,Longevity spinach is used as a vegetable or as a medicinal plant.,,"A vine growing near streams in forests, on sandy slopes and climbing on shrubs or trees.",,,Gynura,Asteraceae,Asterales,"Herbs,Leaf vegetables,Medicinal plants,Vegetables",4,,
299,['Helianthus annuus'],[],Sunflower,Zonnebloem,"Girasol,Mirasol","Grand soleil,Tournesol",Sonnenblume,Girasole,1,1,2,2,1,1,Sunflower originates from America.,"Nowadays, sunflower has almost worldwide distribution mainly temperate and subtropical regions. Highest production is in Ukraine, Russia, Argentina, China, France, Romania, Bulgaria, Turkey, Hungary, USA, and Tanzania.",Sunflower is an annual plant.,"Wild sunflowers are branched plants with many smaller flower heads, but the cultivated sunflower has only one large flower head at the end of an unbranched stem. The big yellow flower head looks like the sun.",,,"Sunflowers grow in a wide range of climates including temperate, subtropical and semi arid climates.",By insects.,Sunflowers are generally 2 to 3 meters tall.,,,,,,,By seed.,,,,,"Most sunflowers are cultivated to produce sunflower oil which is extracted from the seeds. it is used as a cooking oil, to produce margarine, or as a bio-fuel. The cake which is left over after extracting the oil is used as a feed for animals. Sunflower seeds are eaten as a snack and are used as bird feed.Sunflowers are often grown as ornamental flowers in gardens. Smaller varieties can be sold as cut flowers.",,,,,Helianthus,Asteraceae,Asterales,"Edible seeds,Vegetable oils,Cut flowers,Ornamental plants,Subtropical crops,Temperate crops",6,,
300,['Helianthus tuberosus'],[],"Earth apple,Jerusalem artichoke,Sunchoke,Sunroot,Topinambour","Aardpeer,Jeruzalemartisjok,Knolzonnebloem,Topinamboer","Aguaturma,Papa de Jerusalén,Patata de Judea,Topinambur,Tupinambo","Artichaut de Jérusalem,Topinambour","Erdapfel,Erdbirne,Erdtrüffel,Ewigkeitskartoffel,Indianerknolle,Jerusalem-Artischocke,Kleine Sonnenblume,Ross-Erdäpfel,Topinambur","Rapa tedesca,Topinambur",5,4,5,2,9,2,Eastern North America,Temperate climates,It is a  herbaceous perennial plant.,The yellow flowers are produced in flowerheads with a diameter of 5–10 cm. They bear 10–20 ray florets.,"The rough leaves have a hairy texture. On the lower stem the leaves are larger (up to 30 cm long), but higher on the stem the leaves are smaller and narrower.",,Temperate climate,,Jerusalem artichoke can be 1.5 to 3 meters tall.,,,,,,,Planting the tubers,,,,Manual dgging for the tubers.,Tubers are used as a root vegetable and can be eaten raw or cooked. They are sometimes used as a substitute for potatoes.Tubers can be used to produce a spirit: Jerusalem artichoke brandy.,,,,,Helianthus,Asteraceae,Asterales,"Vegetables,Root vegetables,Tuber vegetables,Food crops,Temperate crops",5,"“…in my judgement, which way soever they be drest and eaten they stir up and cause a filthie loathsome stinking winde with the bodie, thereby causing the belly to bee much pained and tormented…. more fit for swine, than men.” (by John Goodyer, 1621)",
301,['Helicteres isora'],[],"East-Indian screw tree,Indian screw tree,Nut-leaved screw tree",,,,,,3,0,0,0,0,0,,"India, South China, Thailand, Malaysia, Java, Australia.",,,,Twisted pods with a pointed tip.,A tropical plant,,It’s a shrub or small tree which can be 5 to 8 meters tall.,,,,,,,,,,,,"Different parts of the plants are used for their medicinal properties. The plant is a source of nutrients and antioxidants. It’s supposed to have anticancer, anti-diabetic and antimicrobial properties.The bark can be used to make rope.",,,,,Helicteres,Malvaceae,Malvales,"Medicinal plants,Tropical crops",2,,
302,['Hericium erinaceus'],[],"Bearded hedgehog mushroom,Bearded tooth fungus,Bearded tooth mushroom,Lion’s mane mushroom,Satyr’s beard",Pruikzwam,Melena de león,,"Affenkopfpilz,Igel-Stachelbart,Löwenmähne,Yamabusitake",,5,1,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,Hericium,Hericiaceae,Russulales,"Food crops,Mushrooms",2,,
303,['Hevea brasiliensis'],[],"Pará rubber,Para rubber tree,Rubber tree,Sharinga tree",Braziliaanse rubberboom,"Árbol del caucho,Siringa",Hévéa,"Kautschukbaum,Parakautschukbaum",Albero della gomma,4,1,2,1,2,1,The Pará rubber tree originates from the Amazon Rainforest. The scientific name Hevea brasiliensis refers to its origin in Brazil.,"Most rubber trees are grown in Asia, mainly in he three largest producing countries, Thailand, Indonesia and Malaysia.",,,,,The tree requires a hot and humid climate with a lot of rainfall. The trees cannot tolerate frost.,,"Rubber trees can be up to 30 m tall, but are usually smaller when grown in commercial plantations.",,,,,,,Rubber trees are propagated by seeds or by buddings (or a combination of both).,,,,Latex harvesters use metal tools to make incisions across the latex vessels in the bark of the tree. The latex is then collected in small buckets attached to the tree. The cuts have to be deep enough to tap the vessels but should not harm the growth of the tree.,"The latex is used to make natural rubber, which in turn can be used to make all kind of products including: rubber bands, pencil erasers, gloves, boots, adhesives, aircraft tires, inner tubes, condoms (also called rubbers), and toy balloons.",,,,,Hevea,Euphorbiaceae,Malpighiales,"Tropical crops,Industrial crops",2,"With a rubber duck, one’s never alone.Love is like a rubber-band held at both ends by two people, when one leaves it hurts the other.",
304,['Hibiscus cannabinus'],[],Kenaf,Kenaf,Kenaf,Kenaf,Kenaf,Kenaf,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Hibiscus,Malvaceae,Malvales,"Fiber crops,Tropical crops,Alcohol production",3,,
305,['Hibiscus sabdariffa'],[],"Rosella,Rosella fruit,Roselle",Roselle,"Flor de Jamaica,Rosa de Abisinia,Rosa de Jamaica","Karkadé,Oseille de Guinée,Roselle","Afrikanische Malve,Karkade,Roselle,Sabdariff-Eibisch,Sudan-Eibisch,Other,Meshta,Mesta",,3,1,3,3,8,0,Tropical Asia,Roselle is now cultivated in all tropical regions of the world.,Roselle is an annual plant.,"Roselle flowers are 8 to 10 cm in diameter. They have a white or pale yellow color with at the base of each petal a dark red spot. Flowers have a sturdy fleshy calyx at their base, which grows to be 3 to 3.5 cm wide. This calyx is fleshy and has a bright red color as the fruit matures. These calyces have a sour taste and are used to make a fruity drink or tea.",The dark green or reddish leaves are divided in 3 to 7 lobes.,, ,Roselle is pollinated by insects.,Roselle can reach a height of about 3.5 meters.,,,,,?,?,Roselle is propagated by direct sowing of seeds.,?,?,,The entire plant is harvested (for fibre) or just the flowers calyces or leaves are hand picked.,"Roselle is often grown for its bast fibre in the stem of the plant, which can be used just like jute. The red calyces are used to make a fruity drink. They are also used as food colorings. Green leaves are eaten as a vegetable, just like spinach. Many parts of the plant are used in traditional medicines, for example to treat hypertension and urinary tract infections.",,,,,Hibiscus,Malvaceae,Malvales,"Fruits,Fiber crops,Food crops,Tropical crops",4,"A man only takes rosella to the bush to plant one time.  (A proverb from the Soninke people of West Africa: Mali, Mauritania, Senegal, Gambia and Guinea Bissau. [Yugo do Sangume wa telle gunne ta banne ya]. The proverb is used in contexts when something only needs to be done once.)Cooking roselle too long, taste is bitter, and staying in bachelor life too long, life is bitter. (Mon people in Mon state, southern part of Burma  myanmar  have this proverb to explain too many dramas in a bachelor’s life. In Mon language: dun hwa ga jip loh,teh hoult, pa blai loh, teh shoult.)","Roselle JuiceIngredients:  1) Fresh rosella or Dried rosella 20 grams or 5 flowers 2) Syrup 30 grams (or 2 table spoon) 3) Water 200 ml 4) Salt 2 gramsInstructions how to make juice:  Clean rosella with water, boil in water. Slow the fire and simmer until it gets the very red color juice. Take away the flower, add syrup and sugar in juice and continue simmering for 1 minute. Serve as a warm or cool drink."
306,['Hordeum vulgare'],[],"Barley,Common barley",Gerst,Cebada,"Orge,Orge commune","Gerste,Gerstenkorn",Orzo,2,1,1,2,2,1,"Barley was first cultivated in the Near East, in the area of the Tigris-Euphrates river system.","Grows in temperate regions. Countries with the highest production include Russia, Canada, Spain, Germany, France and Turkey. It is also grown in Australia, United Kingdom, United States, and Ethiopia.",,,,,Prefers dry cool climates. It will not grow well in warm humid climate.,It is a self-pollinating plant.,"Plants are, depending on variety and soil health, between 60 and 120 centimeter tall.",Grows well on well-drained fertile loams or on light clay soils.,Can tolerate moderate drought conditions.,,,,,Propagated by seed.,Aphids,,,"Nowadays usually harvested with a combine harvester, which is a machine that harvests grain crops combining reaping and threshing in a single operation.","The main use of barley is to make malt, which is an ingredient to make beer. Malt is prepared by making the grains germinate by soaking them in water and then drying them with hot air to stop further germination. Barley is also used as a fodder crop or to make barley bread.",,Barley is a domesticated plant belonging to the grasses family. It usually produces one to six tillers (stems) per plant.,,,Hordeum,Poaceae,Poales,"Cereals,Alcoholic drinks,Food crops,Temperate crops,Staple food,Alcohol production",6,"It is safe to lend barley to him who has oats.Who sows barley cannot reap wheat.In the age of acorns, before the times of Ceres, a single barley-corn had been of more value to mankind than all the diamonds of the mines of India. (Henry Brooke)And the flax and the barley was smitten: for the barley was in the ear, and the flax was bolled. (Bible. Exodus 9:31.)",No recipe yet.
307,['Houttuynia cordata'],[],"Bishop’s weed,Chameleon plant,Chinese lizard tail,Fish mint,Fishwort,Heartleaf,Himalayan spinach,Lizard tail,Vietnamese fish plant","Leidsplantje,Moerasanemoon",,"Hottonie,Plante caméléon","Buntblatt,Chamäleonpflanze,Chinesischer Eidechsenschwanz,Eidechsenschwanz,Molchschwanz",,9,2,0,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,Houttuynia,Saururaceae,Piperales,"Herbs,Leaf vegetables,Vegetables",3,,
308,['Humulus lupulus'],[],"Common hop,Hop",Hop,Lúpulo,"Houblon,Vigne du Nord",Echter Hopfen,Luppolo,2,1,1,2,1,1,,"Countries that produce a lot of hop include Germany, USA, China, Czech Republic, Poland, Slovenia, North Korea, United Kingdom, Albania and Australia.",Hop is a perennial plant. In autumn the plant dies back to a rhizome which can survive the cold winter period. It then develops new shoots in spring.,The hop plant is grown for its female flowers. The light green flower cones (called hops) are fragrant and are used in beer brewing for their bitterness and flavor. They also have preservative qualities.,,,Hop grows best in moist temperate climates.,In hop production pollination is not desired. In a hopfield only female plants will be kept.,The hop vines usually grow to about 5 to 6 meter tall.,,,,,,,Female plants are propagated vegetatively. Hop can also be grown from seed. In that case the emerging male plants will be removed and only female plants are kept.,Common pests of hop include the Hop leaf aphid (Phorodon humuli) and the Red spider mite (Tetranychus urticae).,Hop diseases include Downy mildew and Powdery mildew.,,Hop flowers can be hand picked but nowadays in large scale production hop-harvesting machines are used.,"The dried female flowers are used in beer brewing. The dried flowers are sometimes ground and then pressed to make hop pellets.Hops are also used in herbal medicines to treat anxiety, restlessness and insomnia.",,"Hop is a herbaceous climbing vine. In a hopfield the plants are usually supported by strings. The hop plant is dioecious, which means that there are separate plants with male or female flowers.",,,Humulus,Cannabaceae,Rosales,"Herbs,Temperate crops",2,"Kent, sir – everybody knows Kent – apples, cherries, hops, and women. (Charles Dickens)In wine there is wisdom. In beer there is strength. In water there is bacteria.We are getting by on our hips and hops. (a common British wartime expression)",
309,['Hyacinthus orientalis'],[],"Common hyacinth,Dutch hyacinth,Garden hyacinth,Hyacinth",Hyacint,Jacinto,Jacinthe,"Garten-Hyazinthe,Gartenhyazinthe,Hyazinthe",Giacinto,4,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Hyacinthus,Asparagaceae,Asparagales,"Ornamental plants,Temperate crops",2,,
310,['Hylocereus costaricensis'],['Hylocereus polyrhizus'],"Costa Rica Pitahaya,Dragonfruit,Purple pitaya",Pitaya,"Pitaya de Costa Rica,Pitaya púrpura",,,,3,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Hylocereus,Cactaceae,Caryophyllales,"Fruits,Food crops,Tropical crops",3,,
311,['Hylocereus megalanthus'],['Selenicereus megalanthus'],"Dragonfruit,Yellow pitaya","Gele pitaya,Pitaya",,,"Gelbe Pitahaya,Gelbe Pitaya",,2,2,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,Hylocereus,Cactaceae,Caryophyllales,"Fruits,Food crops,Tropical crops",3,,
312,['Hylocereus undatus'],[],"Belle of the night,Conderella plant,Dragon fruit,Dragonfruit,Moonflower,Night blooming cereus,Pitahaya,Pitaya,Queen of the night,Red pitahaya,Red pitaya,Strawberry pear","Drakenvrucht,Pitahaya,Pitaya","Flor de caliz,Junco,Junco tapatio,Pitahaya orejona,Pitahaya roja,Pitajava,Reina de la noche,Tasajo","Cierge-lézard,Fruit du dragon,Poire de chardon","Distelbirne,Drachenfrucht,Pitahaya","Pitahaya,Pitaya",12,3,8,3,3,2,"Mexico, Central and South America","Mexico, Central and South America, South-East Asia, Malaysia, Thailand, Vietnam, Southern China, Israel",,The plant flowers only at night. The large white flowers are called “moonflower” or “queen of the night”.,It’s a vine-like plants in the cactus family. The cactus-like tree has no leaves.,The typical bright pink or red colored fruits weigh from 200 to 700 grams. They are 7-10 cm wide and 10-15 cm long. The flesh inside is white (but varieties with other colors exist) and contains many small black seeds. It has a mildly sweet taste. The fruit is supposed to have the color and shape of a dragon’s eye. Towards the end of the fruit are several soft scales with a greenish color.,Dry tropical climates. Requires moderate amounts of rain.,Self pollination. But pollination improves if bees or ants are present and by hand pollination.,The plant is often grown along cement poles of about 2 meter height with wooden crosspieces to support the vines.,Dragon fruit grows in any soil but likes rich organic matter plus sand. It prefers well-drained soils.,,Dragon fruit likes bright sunshine.,,3 meter?, ,Propagated by seed or by cutting.,"Few pests: aphids, mealybugs","Stem rot (Xanthomonas campestris), Collar rot (Phytopthora sp.), Root rots (Fusarium sp., Alternara sp.)",,Hand pick the mature fruits.,Fruits are peeled and the white flesh is eaten fresh. Fruits can also be used to prepare juice or wine.,,,Fruits are produce throughout the year.,,Hylocereus,Cactaceae,Caryophyllales,"Fruits,Food crops,Tropical crops",3,,"Dragonfruit shake / Pitaya shakeIngredients:  One dragonfruit, syrup, salt, and ice.How to prepare it:  Cut the dragon fruit into small pieces.	Put ice, dragonfruit, syrup and a little bit of salt into the blender. Blend it fine and then serve in a beautiful glass."
313,['Hypericum perforatum'],[],"Chase-devil,Common St John’s wort,Goatweed,Klamath weed,Perforate St John’s wort,Rosin rose,St John’s wort,Tipton’s weed",Sint-Janskruid,"Corazoncillo,Hierba de San Juan,Hipérico,Hipericón","Millepertuis commun,Millepertuis officinal,Millepertuis perforé","Durchlöchertes Johanniskraut,Echt-Johanniskraut,Echte Johanniskraut,Echtes Johanniskraut,Gewöhnliches Johanniskraut,Herrgottsblut,Tüpfel-Hartheu,Tüpfel-Johanniskraut","Erba di san Giovanni,Iperico,Scacciadiavoli",8,1,4,3,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,Hypericum,Hypericaceae,Malpighiales,"Herbs,Medicinal plants,Subtropical crops,Temperate crops",4,,
314,['Hyssopus officinalis'],['Hyssopus decumbens'],"Herb hyssop,Hyssop","Hysop,Hyssop",Hisopo,"Hysope,Hysope officinale","Bienenkraut,Duftisoppe,Echter Ysop,Eisenkraut,Eisop,Gewürzysop,Heisop,Hisopo,Hizopf,Ibsche,Isop,Ispen,Josefskraut,Ysop",,2,2,1,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,Hyssopus,Lamiaceae,Lamiales,"Herbs,Medicinal plants,Essential oils,Temperate crops",4,,
315,['Ilex paraguariensis'],[],"Erva mate,Yerba maté",Matéplant,"Yerba del Paraguay,Yerba mate","Thé du Paraguay,Yerba maté","Mate,Mate-Baum,Mate-Strauch",Erba mate,2,1,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Ilex,Aquifoliaceae,Aquifoliales,"Herbs,Medicinal plants,Stimulants,Tropical crops",4,,
316,['Illicium verum'],[],"Badian,Chinese star anise,Star anise,Star aniseed",Steranijs,Anís estrellado,"Anis étoilé,Badiane chinoise,Badianier de Chine",Echter Sternanis,Anice stellato,4,1,1,3,1,1,Originates from northeast Vietnam and southwest China.,"China, Vietnam, Cambodia, Laos, Japan and Philippines.",,,,The star shaped fruits are used as a spice.,Tropical,,?,,,,,,,?,,,,Fruits are harvested just before they are ripe.,"Star anise is used as a spice in Chinese, Indian, Malay and Indonesian cuisine. Also used (sometimes to replace anise) in baking or liquor production.",,,,,Illicium,Schisandraceae,Austrobaileyales,"Spices,Medicinal plants,Tropical crops",3,,
317,['Indigofera tinctoria'],[],"Indigo,True indigo","Indigo,Indigoplant",Índigo verdadero,"Idigo des teinturiers,Indigo des Indes,Indigotier",True indigo,Indaco dei tintori,2,2,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Indigofera,Fabaceae,Fabales,"Dye crops,Legumes",2,,
318,['Ipomoea aquatica'],[],"Chinese spinach,Kangkong,River spinach,Swamp cabbage,Water convolvulus,Water morning glory,Water spinach","Dagoeblad,Kangkoeng,Waterspinazie",,Liseron d’eau,"Wasserspinat,Thai,Pak boeng,Other,Kang kung,Kangkoeng,Kangkung",,7,3,0,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,Ipomoea,Convolvulaceae,Solanales,"Vegetables,Leaf vegetables,Food crops,Tropical crops",4,,
319,['Ipomoea batatas'],[],Sweet potato,"Bataat,Zoete aardappel","Batata,Boniato,Camote,Papa dulce",Patate douce,"Batate,Knollenwinde,Süßkartoffel,Weiße Kartoffel",Patata dolce,1,2,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,Ipomoea,Convolvulaceae,Solanales,"Vegetables,Leaf vegetables,Root vegetables,Tuber vegetables,Food crops,Tropical crops,Staple food,Alcohol production",8,,
320,['Iris spp.'],[],Iris,"Iris,Lis",Iris,Iris,Schwertlilie,Giaggiolo,1,2,1,1,1,1,,Irises are widely distributed in  temperate regions (north).,Irises are perennial plants.,"Irises have usually one or more symmetrical six-lobed flowers. The colors can be gold-yellow, yellow, white, blue, or purple, but cultivated varieties can have different colors such as pink and orange.",,,Irises are found in the northern hemisphere in temperate climates.,Pollinated by insects.,,,,,,,,"Vegetative propagation from bulbs or rhizomes, but can also be grown from seeds.",,,,,Cultivated irises are grown as ornamental plants in gardens or to be sold as cut flowers.,,,,,Iris,Iridaceae,Asparagales,"Cut flowers,Ornamental plants,Temperate crops",3,,
321,['Jasminum officinale'],[],"Common Jasmine,Jessamine,Poet’s Jasmine",Echte jasmijn,Jazmín común,"Jasmin blanc,Jasmin commun","Echter Jasmin,Gewöhnliche Jasmin",Gelsomino comune,3,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,Jasminum,Oleaceae,Lamiales,"Medicinal plants,Essential oils",2,,
322,['Jasminum spp.'],[],Jasmine,Jasmijn,Jazmín,Jasmin,Jasmin,Gelsomino,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Jasminum,Oleaceae,Lamiales,"Herbs,Essential oils,Ornamental plants,Tropical crops,Subtropical crops,Temperate crops",6,,
323,['Juglans regia'],[],"Common walnut,English walnut,Persian walnut,Walnut","Gewone walnoot,Okkernoot,Perzische walnoot,Walnoot","Nogal común,Nogal español,Nogal europeo","Noyer commun,Noyer royal","Baumnuss,Echte Walnuss,Persische Walnuss,Walnuss,Walnussbaum","Noce bianco,Noce da frutto",4,4,3,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,Juglans,Juglandaceae,Fagales,"Nuts,Temperate crops",2,,
324,['Juniperus communis'],[],"Common juniper,Juniper berry",Jeneverbes,"Enebro común,Jinebro","Genévrier commun,Genièvre","Gemeiner Wacholder,Heide-Wacholder",Ginepro,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,Juniperus,Cupressaceae,Coniferales,"Spices,Essential oils,Temperate crops",3,,
325,['Lablab purpureus'],"['Dolichos lablab', 'Dolichos purpureaus', 'Lablab lablab', 'Lablab niger']","Country bean,Dolichos bean,Hyacinth bean,Indian bean",,"Fríjol de Egipto,Frijol dólicho,Poroto,Zarandaja","Dolique d’Égypte,Lablab,Pois antaque","Ägyptische Bohne,Helmbohne,Indische Bohne","Dolico egiziano,Lablab",4,0,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,Lablab,Fabaceae,Fabales,"Vegetables,Podded vegetables,Food crops,Tropical crops,Legumes",5,,
326,['Lactuca sativa'],[],"Iceberg lettuce,Lettuce","IJsbergsla,IJssla,Kropsla,Sla",,Laitue,,,2,4,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Lactuca,Asteraceae,Asterales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,,
327,['Lactuca sativa  var. asparagina'],[],"Asparagus lettuce,Celery lettuce,Celtuce,Chinese lettuce,Stem lettuce",,Lechuga china,,,,5,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Lactuca,Asteraceae,Asterales,"Vegetables,Stem vegetables,Food crops,Temperate crops",4,,
328,['Lagenaria siceraria'],[],"Bottle gourd,Calabash",Fleskalebas,"Calabaza de peregrino,Jicaro,Porongo",Calebasse,Flaschenkürbis,,2,1,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Lagenaria,Cucurbitaceae,Cucurbitales,"Vegetables,Fruit vegetables,Food crops,Tropical crops",4,,
329,['Lansium domesticum'],[],"Langsat,Longkong",Langsat,,Longkong,"Langsat,Lansibaum,Longkong,Other,Lansone",,2,1,0,1,5,0,"Indonesia, Malaysia","Most tropical regions, but Longkong is grown mainly in Southeast Asia, southern India and the Philippines.",,?,?,"Langsat: The skin of the langsat fruit is thin, with soft hair, and has a yellow color. There is latex when broken or torn (compare to Longkong, which does not have the latex). Langsat fruits are oval shaped, smaller than Longkong, about 2.5 cm wide and 3.7 cm long.", , ,Longkong trees are 10 to 15 meters tall.,,,,,,,?,?,?,,Handpicking the fruits.,Both longkong and langsat are fruits that are usually eaten fresh as a snack or as a dessert fruit.,,,,,Lansium,Meliaceae,Sapindales,"Fruits,Food crops,Tropical crops",3,,
330,['Lathyrus sativus'],[],"Grass pea,Indian pea,Indian vetch",,"Almorta,Chicharo",,Saat-Platterbse,Cicerchia,3,0,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Lathyrus,Fabaceae,Fabales,"Vegetables,Podded vegetables,Food crops,Tropical crops,Forage and fodder crops",5,,
331,['Lathyrus tuberosus'],[],"Aardaker,Earthnut pea,Tuberous pea",Aardaker,,"Gesse tubéreuse,Pois tubéreux,Souris de Hollande,Souris de terre","Knollen-Platterbse,Knollige Platterbse",,3,1,0,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,Lathyrus,Fabaceae,Fabales,"Vegetables,Root vegetables,Food crops,Temperate crops",4,,
332,['Laurus nobilis'],[],"Bay laurel,Bay leaf,Bay tree,Grecian laurel,Laurel,Laurel tree,Sweet bay,True laurel","Laurier,Laurierboom,Laurierstruik","Laurel,Laurel común,Laurel de cocina,Lauro","Laurier,Laurier vrai,Laurier-sauce","Echter Lorbeer,Edler Lorbeer,Gewürzlorbeer",Alloro,8,3,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Laurus,Lauraceae,Laurales,"Herbs,Spices,Medicinal plants,Subtropical crops",4,,
333,['Lavandula angustifolia'],[],"Common lavender,English lavender,Narrow-leaved lavender,True lavender","Echte lavendel,Spijklavendel","Lavanda officinale,Lavanda vera",Lavande vraie,"Echte Lavendel,Other,Lavanta",,4,2,2,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,Lavandula,Lamiaceae,Lamiales,"Medicinal plants,Essential oils,Ornamental plants",3,,
334,['Lavandula spp.'],[],Lavender,Lavendel,Lavandula,Lavande,Lavendel,"Lavanda,Other,Lavanta",1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,Lavandula,Lamiaceae,Lamiales,"Herbs,Medicinal plants,Essential oils,Subtropical crops,Industrial crops",5,,
335,['Lawsonia inermis'],[],"Egyptian privet,Henna,Henna tree,Hina,Mignonette tree",Henna,"Alheña,Arjeña",Henné,Hennastrauch,Henna,5,1,2,1,1,1,"Henna originates from northern Africa, the near East and India.",,,,,,Henna is a tropical plant a prefers  semi-arid zones with high temperatures.,,Henna grows as a shrub or small tree and is usually 2 to 7 meters tall.,,,,,,,,,,,,"Henna is mainly used as a natural red dye. Henna is  a dried powder made from fresh ground henna leaves. It is used as a dye to dye skin, hair, fingernails, leather and wool. To dye the skin, the powder is made into a paste that can be “painted” on the skin. After many hours of contact the skin will show a pattern of red color.Henna flowers can be used in perfumes.",,,,,Lawsonia,Lythraceae,Myrtales,"Dye crops,Tropical crops,Subtropical crops",3,,
336,['Lecythis zabucajo'],[],"Paradise nut,Sapucaia",,,,,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Lecythis,Lecythidaceae,Ericales,"Nuts,Tropical crops",2,,
